RECN,AUN,MUS,TI,ATI,PG,ED,SR,CT,COM,PL,YR,DATE,OY,VOL,NUM,EN,CODE,CITE,GCITE,VO,NOTE,XN,PER,CAT,EX,TR,SC,FE,DI,DIU,ROYAL,COMMIT,CALL,MSG,STAMP,UPN,SORTN,SORT2N,LCITE,BIB,recid,GCITE2,firsttwo,FirstLetter
349,,"Madrid, Ateneo",Carretero Ferre,,,,,Comp.,A. Moreno,,,"March 15-28, |y 1960",,,,58,MAACA,"Madrid, Ateneo, Carretero [exh.], 1960, n.p.","Madrid, Ateneo, Carretero [exh.], 1960",,"Checked: IJR, 6/18/91  EW 6/25/91    seen.9.1.93.fma",,,,Y,,,,,,Back on Shelf,,E m26 At27c,C,MJO |D 1989 12 19 |T 16:17:02,FMA |D 1990 08 13 |T 13:06:15,car,,"Madrid, Ateneo.  Carretero Ferre [exh.].  Comp. A. Moreno. March 15-28, 1960, no.58.","Madrid, Ateneo.  Carretero Ferre [exh.].  Comp. A. Moreno. March 15-28, 1960, no.58.",349,"Madrid, Ateneo, Carretero [exh.], 1960","Madrid, Ateneo",M
350,,"Madrid, Ateneo",Cárdenas,,,,,Comp.,R.D. Faraldo,,,"December 18, |y 1958 - January 10, 1959",,,,40,MAACAR,"Madrid, Ateneo, Cárdenas [exh.], 1958-1959, n.p.","Madrid, Ateneo, Cárdenas [exh.], 1958-1959",,"Checked: EW 6/7/91 / IJR, 6/18/91   seen.5.18.92.fma",,,,Y,,,,,,Back on Shelf,,E M26 At27c no.40,C,MPI |D 1989 12 20 |T 11:12:12,FMA |D 1990 11 29 |T 12:33:44,,,"Madrid, Ateneo.  Cárdenas [exh.].  Comp. R.D. Faraldo. December 18, 1958 - January 10, 1959, no.40.","Madrid, Ateneo.  Cárdenas [exh.].  Comp. R.D. Faraldo. December 18, 1958 - January 10, 1959, no.40.",350,"Madrid, Ateneo, Cárdenas [exh.], 1958-1959","Madrid, Ateneo",M
351,"Sánchez Marín, V.",,Goya,Crónica de Madrid,330-335,,,,,,,March-April |y 1963,,,53,,SANMA63,"Sánchez Marín, 1963, p.","Sánchez Marín, 1963",,"Checked: IJR, 5/22/91, EW 5/24/91  seen.8.7.91.fma",,Y,,,,,,,,Back on Shelf,,,A,FMA |D 1989 12 20 |T 12:05:11,IR |D 1990 07 30 |T 13:22:01,,,"Sánchez Marín, V.  Crónica de Madrid.  Goya  53 (March-April 1963): 330-335.","Sánchez Marín, V.  Crónica de Madrid.  Goya  53 (March-April 1963): 330-335.",351,"Sánchez Marín, 1963",Sánchez Marín,S
352,"Janke, R.S.",,Metropolitan Museum Journal,The Retable of Don Dalmau de Mur y Cervelló from the Archbishop's Palace at Saragossa: A Documented Work by Francí Gomar and Tomás Giner,65-83,,,,,,,|y 1983,,,18,,JANKE,"Janke, 1983, p.","Janke, 1983",,Checked: IJR 9/27/91  EW 11/20/91   seen.12.9.91.fma,,Y,,,,,,,,Back on Shelf,,,G,SME |D 1991 08 16 |T 15:42:53,SME |D 1991 08 16 |T 15:42:53,,,"Janke, R.S.  The Retable of Don Dalmau de Mur y Cervelló from the Archbishop's Palace at Saragossa: A Documented Work by Francí Gomar and Tomás Giner.  Metropolitan Museum Journal  18 (1983): 65-83.","Janke, R.S.  The Retable of Don Dalmau de Mur y Cervelló from the Archbishop's Palace at Saragossa: A Documented Work by Francí Gomar and Tomás Giner.  Metropolitan Museum Journal  18 (1983): 65-83.",352,"Janke, 1983","Janke, 1983",J
353,,"Barcelona, Sala Barcino","Pinturas, Francisco Carrasco y Díaz",,,,,Comp.,J. Prados López,,,"October 16 - November 5, |y 1943 [checklist]",,,,,BARBARCA,"Barcelona, Sala Barcino, Carrasco [exh.], 1943, n.p.","Barcelona, Sala Barcino, Carrasco [exh.], 1943",,"Checked: EW 6/7/91 / IJR, 6/18/91   seen.10.11.91.fma",,,,Y,,,,,,Back on Shelf,,E B23 Sa 2 c 23,C,KS |D 1990 07 31 |T 12:31:42,JRV |D 1990 12 10 |T 16:02:23,ca,,"Barcelona, Sala Barcino.  Pinturas, Francisco Carrasco y Díaz [exh.].  Comp. J. Prados López.  October 16 - November 5, 1943 [checklist].","Barcelona, Sala Barcino.  Pinturas, Francisco Carrasco y Díaz [exh.].  Comp. J. Prados López.  October 16 - November 5, 1943 [checklist].",353,"Barcelona, Sala Barcino, Carrasco [exh.], 1943","Barcelona, Sala",B
354,"Wethey, H.E.",,"Alonso Cano. Pintor, escultor y arquitecto",,,,,Trans.,R. Palencia del Burgo,[Rev. ed.]. Madrid,1983,,,,,,WETHEY83,"Wethey, 1983, p.","Wethey, 1983",,"Checked: EW 6/5/91 / IJR, 6/17/91  seen.10.11.91.fma",,,,,,,,,,Back on Shelf,,813 C165w53a,C H M4,MJO |D 1989 12 22 |T 09:52:36,FMA |D 1990 08 27 |T 12:07:16,,,"Wethey, H.E.  Alonso Cano. Pintor, escultor y arquitecto. Trans. R. Palencia del Burgo.  [Rev. ed.]. Madrid, 1983.","Wethey, H.E.  Alonso Cano. Pintor, escultor y arquitecto. Trans. R. Palencia del Burgo.  [Rev. ed.]. Madrid, 1983.",354,"Wethey, 1983","Wethey, 1983",W
355,"Pérez Sánchez, A.E.",,Juan Carreño de Miranda (1614-1685),,,,,,,Avilés,1985,,,,,,PESAN85,"Pérez Sánchez, Carreño de Miranda, 1985, p.","Pérez Sánchez, Carreño de Miranda, 1985",,"Checked: EW 6/5/91 / IJR,  6/17/91  seen.10.11.91.fma",,,,,,,,,,Back on Shelf,,813 C23 p415,C,MJO |D 1989 12 22 |T 10:01:30,FMA |D 1990 01 04 |T 08:59:33,b,,"Pérez Sánchez, A.E.  Juan Carreño de Miranda (1614-1685). Avilés, 1985.","Pérez Sánchez, A.E.  Juan Carreño de Miranda (1614-1685). Avilés, 1985.",355,"Pérez Sánchez, Carreño de Miranda, 1985",Pérez Sánchez,P
356,"Mayer, A.L.",,Burlington Magazine,Miniatures by Juan de Carrión in the British Museum,104,,,,,,,|y 1926,,48,,,MAYER26,"Mayer, 1926, p.104.","Mayer, 1926",,"Checked: EW 6/11/91 / IJR, 6/21/91    seen.5.15.92.fma",,Y,,,,,,,,Back on Shelf,,,C,MJO |D 1989 12 22 |T 10:22:00,IR |D 1990 07 30 |T 12:02:39,aa,,"Mayer, A.L.  Miniatures by Juan de Carrión in the British Museum.  Burlington Magazine  48 (1926): 104.","Mayer, A.L.  Miniatures by Juan de Carrión in the British Museum.  Burlington Magazine  48 (1926): 104.",356,"Mayer, 1926","Mayer, 1926",M
357,"Arco y Garay, R. del.",,Huesca,,,,Catálogo monumental de España,,,Madrid,1942,,,,,,ARGA42,"Arco y Garay, 1942, v. , p.","Arco y Garay, 1942",2 vols.,"Checked: EW 6/10/91 / IJR, 6/26/91   seen.5.19.92.fma",,,,,,,,,,Authors,,021 Splar2h,C G L M2 V Y,MPI |D 1989 12 22 |T 11:00:36,IR |D 1990 07 26 |T 12:58:24,,,"Arco y Garay, R. del.  Huesca.  Catálogo monumental de España. 2 vols.  Madrid, 1942.","Arco y Garay, R. del.  Huesca.  Catálogo monumental de España. 2 vols.  Madrid, 1942.",357,"Arco y Garay, 1942",Arco y,A
358,"Hernández Díaz, J.",,Archivo Español de Arte,Roque de Balduque en Santa María de Cáceres,375-384,,,,,,,|y 1970,,43,,,HERDI70,"Hernández Díaz, 1970, p.","Hernández Díaz, 1970",,"Checked: EW 6/3/91  seen.6.4.91.fma; IJR, 6/7/91",,Y,,,,,,,,Back on Shelf,,,B,MPI |D 1990 01 08 |T 16:22:45,JRV |D 1990 10 15 |T 16:43:50,,,"Hernández Díaz, J.  Roque de Balduque en Santa María de Cáceres.  Archivo Español de Arte  43 (1970): 375-384.","Hernández Díaz, J.  Roque de Balduque en Santa María de Cáceres.  Archivo Español de Arte  43 (1970): 375-384.",358,"Hernández Díaz, 1970",Hernández Díaz,H
359,"García Iglesias, J.M.",,El pintor de Banga,,,,,,,La Coruña,1984,,,,,,GARI84,"García Iglesias, 1984, p.","García Iglesias, 1984",,seen.1.26.93.fma  // IJR 10/93,,,,,,,,,,Back on Shelf,,813 P 658g 165,G,MPI |D 1990 01 09 |T 11:46:04,MPI |D 1990 01 09 |T 11:49:49,,,"García Iglesias, J.M.  El pintor de Banga.  La Coruña, 1984.","García Iglesias, J.M.  El pintor de Banga.  La Coruña, 1984.",359,"García Iglesias, 1984",García Iglesias,G
360,"Mateo Gómez, I.",,Juan Correa de Vivar,,,,Artes y artistas,,,Madrid,1983,,,,,,MAGO83,"Mateo Gómez, 1983, p.","Mateo Gómez, 1983",,"Checked: EW 6/5/91 / IJR, 6/17/91   seen.5.18.92.fma",,,,,,,,,,Back on Shelf,,813 C817 m417,C,MPI |D 1990 01 10 |T 17:22:39,EW |D 1990 08 07 |T 14:08:57,,,"Mateo Gómez, I.  Juan Correa de Vivar.  Artes y artistas. Madrid, 1983.","Mateo Gómez, I.  Juan Correa de Vivar.  Artes y artistas. Madrid, 1983.",360,"Mateo Gómez, 1983",Mateo Gómez,M
361,"Gómez-Moreno, M.",,Catálogo monumental de España. Provincia de Salamanca,,,,,,,Madrid,1967,,,2 vols.,,,GOMO67,"Gómez-Moreno, 1967, v. , p.","Gómez-Moreno, 1967",,Checked: IJR. 6/4/91  EW 6/7/91   seen.5.19.92.fma,,,,,,,,,,Back on Shelf,,121 Spl g58s,A B C E G H I M3,IMS |D 1990 11 02 |T 13:44:54,EW |D 1991 01 30 |T 13:16:18,,,"Gómez-Moreno, M.  Catálogo monumental de España. Provincia de Salamanca.  Madrid, 1967.","Gómez-Moreno, M.  Catálogo monumental de España. Provincia de Salamanca.  Madrid, 1967.",361,"Gómez-Moreno, 1967",Gómez-Moreno,G
362,"Madurell [i] Marimón, J.M.",,Anales y Boletín de los Museos de Arte de Barcelona,"El pintor Lluís Borrassà. Su vida, su tiempo, sus seguidores y sus obras. I: Texto. Apéndice documental. Indices",9-325,,,,,,,|y 1949,,7,,,MAMA49,"Madurell [i] Marimón, 1949, p.","Madurell [i] Marimón, 1949",,"Checked: part two is in v.8, 1950. EW 9/19/91 // IJR 9/23/91 seen.9.26.91.fma",,y,,,,,,,,Back on Shelf,,,A C M2,EW |D 1991 09 19 |T 12:26:12,EW |D 1991 09 19 |T 12:26:12,,,"Madurell [i] Marimón, J.M.  El pintor Lluís Borrassà. Su vida, su tiempo, sus seguidores y sus obras. I: Texto. Apéndice documental. Indices. Anales y Boletín de los Museos de Arte de Barcelona  7 (1949): 9-325.","Madurell [i] Marimón, J.M.  El pintor Lluís Borrassà. Su vida, su tiempo, sus seguidores y sus obras. I: Texto. Apéndice documental. Indices. Anales y Boletín de los Museos de Arte de Barcelona  7 (1949): 9-325.",362,"Madurell [i] Marimón, 1949",Madurell [i,M
363,"Castillo, A. del.",,Goya,Crónica de Barcelona,179-184,,,,,,,November-December |y 1970,,,99,,CASTI70,"Castillo, 1970, p.","Castillo, 1970",,"Checked: IJR, 5/13/91, EW 5/23/91   seen.8.7.91.fma",,Y,,,,,,,,Back on Shelf,,,A G,MPI |D 1990 01 12 |T 12:36:48,EW |D 1990 08 06 |T 14:26:36,,,"Castillo, A. del.  Crónica de Barcelona.  Goya  99 (November-December 1970): 179-184.","Castillo, A. del.  Crónica de Barcelona.  Goya  99 (November-December 1970): 179-184.",363,"Castillo, 1970","Castillo, 1970",C
364,"Alcolea [Gil], S.",,Artes decorativas en la España cristiana (siglos XI-XIX),,,,"Ars Hispaniae, vol.20",,,Madrid,1975,,,,,,ARS20,"Alcolea [Gil], 1975, p.","Alcolea [Gil], 1975",,"Checked: EW, 5/23/91 / IJR, 6/24/91",,,,,,,,,,General,,,A B C D F G V,MJO |D 1990 01 16 |T 12:59:22,KS |D 1990 03 21 |T 16:43:00,,,"Alcolea [Gil], S.  Artes decorativas en la España cristiana (siglos XI-XIX).  Ars Hispaniae, vol.20.  Madrid, 1975.","Alcolea [Gil], S.  Artes decorativas en la España cristiana (siglos XI-XIX).  Ars Hispaniae, vol.20.  Madrid, 1975.",364,"Alcolea [Gil], 1975",Alcolea [Gil,A
365,"Herráez y Sánchez de Escariche, J.",,Boletín de la Sociedad Española de Excursiones,Antonio de Alfián. Aportaciones al estudio del arte pictórico sevillano del siglo XVI,270-310,,,,,,,|y1929,,37,,,HESAN29,"Herráez y Sánchez de Escariche, 1929, p.","Herráez y Sánchez de Escariche, 1929",,"Checked: IJR, 5/17/91 EW 6/3/91  seen.8.7.91.fma",,Y,,,,,,,,Magazine,,,A C M3,MJO |D 1990 01 17 |T 16:32:35,IR |D 1990 07 27 |T 14:58:09,,,"Herráez y Sánchez de Escariche, J.  Antonio de Alfián. Aportaciones al estudio del arte pictórico sevillano del siglo XVI.  Boletín de la Sociedad Española de Excursiones  37 (1929): 270-310.","Herráez y Sánchez de Escariche, J.  Antonio de Alfián. Aportaciones al estudio del arte pictórico sevillano del siglo XVI.  Boletín de la Sociedad Española de Excursiones  37 (1929): 270-310.",365,"Herráez y Sánchez de Escariche, 1929",Herráez y,H
366,"Serrano y Sanz, M.",,"Revista de Archivos, Bibliotecas y Museos",Documentos relativos a la pintura en Aragón durante los siglos XIV y XV (continuación),462-492,,,,,,,January-June |y 1916,,34,,,SESANZ16,"Serrano y Sanz, Documentos, 34, 1916, p.","Serrano y Sanz, Documentos, 34, 1916",,"checked: EW 6/11/91 / IJR, 6/24/91  seen.8.791.fma",,y,,,,,,,,,,,V,MPI |D 1990 11 06 |T 12:19:43,FMA |D 1990 11 06 |T 12:57:41,,,"Serrano y Sanz, M.  Documentos relativos a la pintura en Aragón durante los siglos XIV y XV (continuación).  Revista de Archivos, Bibliotecas y Museos  34 (January-June 1916): 462-492.","Serrano y Sanz, M.  Documentos relativos a la pintura en Aragón durante los siglos XIV y XV (continuación).  Revista de Archivos, Bibliotecas y Museos  34 (January-June 1916): 462-492.",366,"Serrano y Sanz, Documentos, 34, 1916",Serrano y,S
367,"García Gainza, M.C.",,La escultura romanista en Navarra. Discípulos y seguidores de Juan de Anchieta,,,,,,,Pamplona,1969,,,,,,GARGA69,"García Gainza, La escultura, 1969, p.","García Gainza, La escultura, 1969",,"Checked: IJR, 5/17/91, EW 5/23/91    seen.6.2.93.fma",,,,,,,,,,Sculpture,,830 G165,A B G I L M4,MPI |D 1990 01 18 |T 15:59:33,IR |D 1990 07 27 |T 11:43:35,,,"García Gainza, M.C.  La escultura romanista en Navarra. Discípulos y seguidores de Juan de Anchieta.  Pamplona, 1969.","García Gainza, M.C.  La escultura romanista en Navarra. Discípulos y seguidores de Juan de Anchieta.  Pamplona, 1969.",367,"García Gainza, La escultura, 1969",García Gainza,G
368,"Marías, F.",,La arquitectura del Renacimiento en Toledo (1541-1631),,,,"Instituto Provincial de Investigaciones y Estudios Toledanos. Monografías, vol.10",,,,1983-1986,,,,,,MARIAS83,"Marías, v. , 19  , p.","Marías, 1983-1986",4 vols.,Checked: IJR 7/96,,,,,,,,,,,,,,IR |D 1996 07 25 |T 10:54:21,IR |D 1996 07 25 |T 10:54:21,,,"Marías, F.  La arquitectura del Renacimiento en Toledo (1541-1631).  Instituto Provincial de Investigaciones y Estudios Toledanos. Monografías, vol.10.  4 vols.  1983-1986.","Marías, F.  La arquitectura del Renacimiento en Toledo (1541-1631).  Instituto Provincial de Investigaciones y Estudios Toledanos. Monografías, vol.10.  4 vols.  1983-1986.",368,"Marías, 1983-1986","Marías, 1983-1986",M
369,"Arco [y Garay], R. del.",,Archivo Español de Arte,Nuevas noticias de artistas altoaragoneses,216-239,,,,,,,|y 1947,,20,,,ARGA47,"Arco [y Garay], 1947, p.","Arco [y Garay], 1947",,"Checked: IJR, 5/10/91, EW 5/23/91  seen.6.4.91.fma",,Y,,,,,,,,Magazine,,,A L M4 Z,MJO |D 1990 01 18 |T 17:11:40,IR |D 1990 07 26 |T 12:52:19,,,"Arco [y Garay], R. del.  Nuevas noticias de artistas altoaragoneses.  Archivo Español de Arte  20 (1947): 216-239.","Arco [y Garay], R. del.  Nuevas noticias de artistas altoaragoneses.  Archivo Español de Arte  20 (1947): 216-239.",369,"Arco [y Garay], 1947",Arco [y,A
370,"Simón Díaz, J.",,Archivo Español de Arte,Palomino y otros tasadores oficiales de pinturas,121-128,,,,,,,|y 1947,,20,,,SIDI,"Simón Díaz, 1947, p.","Simón Díaz, 1947",,"Checked: IJR, 5/22/91, EW 5/24/91     seen.6.4.91.fma",,Y,,,,,,,,Back on Shelf,,,A,MJO |D 1990 01 18 |T 17:37:42,IR |D 1990 07 30 |T 14:29:25,aa,,"Simón Díaz, J.  Palomino y otros tasadores oficiales de pinturas.  Archivo Español de Arte  20 (1947): 121-128.","Simón Díaz, J.  Palomino y otros tasadores oficiales de pinturas.  Archivo Español de Arte  20 (1947): 121-128.",370,"Simón Díaz, 1947",Simón Díaz,S
371,"Camón Aznar, J.",,Goya,El arte en Madrid,418-420,,,,,,,May-June |y 1956,,,12,,CAAZ1256,"Camón Aznar, El arte en Madrid, 12, 1956, p.","Camón Aznar, El arte en Madrid, 12, 1956",,"Checked: IJR, 5/13/91, EW 5/23/91    seen.4.16.92.fma",,Y,,,,,,,,Back on Shelf,,,A,MJO |D 1990 01 19 |T 12:24:34,IR |D 1990 07 27 |T 10:25:20,,,"Camón Aznar, J.  El arte en Madrid.  Goya  12 (May-June 1956): 418-420.","Camón Aznar, J.  El arte en Madrid.  Goya  12 (May-June 1956): 418-420.",371,"Camón Aznar, El arte en Madrid, 12, 1956",Camón Aznar,C
372,"Castillo, A. [del].",,Sitges,Las muñecas antiguas del Museo Romántico Provincial,,,,,,,,"(|y 1966): [5 pages, as cited in Archivo Español de Arte 40 (1967): 192-193]",,40,,,CASTI66,"Castillo, 1966.","Castillo, 1966",,"checked: IJR, 5/10/91, EW 5/30/91  seen.6.4.91.fma",,,,,,,,,,,,,A,MPI |D 1990 01 19 |T 13:13:17,FMA |D 1990 08 09 |T 11:41:50,,,"Castillo, A. [del].  Las muñecas antiguas del Museo Romántico Provincial.  Sitges.  (1966): [5 pages, as cited in Archivo Español de Arte 40 (1967): 192-193].","Castillo, A. [del].  Las muñecas antiguas del Museo Romántico Provincial.  Sitges.  (1966): [5 pages, as cited in Archivo Español de Arte 40 (1967): 192-193].",372,"Castillo, 1966","Castillo, 1966",C
373,"Balaguer, F.",,Argensola. Revista del Instituto de Estudios Oscenses,La desaparecida iglesia del Espíritu Santo,159-165,,,,,,,2nd quarter |y 1953,,4,14,,BALA53,"Balaguer, 1953, p.","Balaguer, 1953",,"Ask Madrid, Public Library for the whole article.FMA  Checked portion here. EW 6/26/91 // IJR 9/23/91",,Y,,,,,,,,Photocopy,,,A,MJO |D 1990 05 09 |T 13:23:20,FMA |D 1990 08 07 |T 12:37:53,,,"Balaguer, F.  La desaparecida iglesia del Espíritu Santo. Argensola. Revista del Instituto de Estudios Oscenses  4, 14 (2nd quarter 1953): 159-165.","Balaguer, F.  La desaparecida iglesia del Espíritu Santo. Argensola. Revista del Instituto de Estudios Oscenses  4, 14 (2nd quarter 1953): 159-165.",373,"Balaguer, 1953","Balaguer, 1953",B
374,"Angulo Iñiguez, D.",,Archivo Español de Arte,Pinturas del siglo XVI en Toledo y Cuenca. Juan de Borgoña y su escuela. Pedro de Aponte en Atri. Yáñez y Sebastián del Piombo,43-58,,,,,,,|y 1956,,29,,,ANI56,"Angulo Iñiguez, 1956, p.","Angulo Iñiguez, 1956",,"Checked: IJR, 5/10/91  EW 5/30/91  seen.6.4.91.fma",,Y,,,,,,,,Back on Shelf,,,A,MPI |D 1990 01 19 |T 16:33:22,IR |D 1990 07 26 |T 12:48:34,aa,,"Angulo Iñiguez, D.  Pinturas del siglo XVI en Toledo y Cuenca. Juan de Borgoña y su escuela. Pedro de Aponte en Atri. Yáñez y Sebastián del Piombo.  Archivo Español de Arte  29 (1956): 43-58.","Angulo Iñiguez, D.  Pinturas del siglo XVI en Toledo y Cuenca. Juan de Borgoña y su escuela. Pedro de Aponte en Atri. Yáñez y Sebastián del Piombo.  Archivo Español de Arte  29 (1956): 43-58.",374,"Angulo Iñiguez, 1956",Angulo Iñiguez,A
375,"Castillo, A. del.",,Goya,Crónica de Barcelona,320-324,,,,,,,March-April |y 1968,,,83,,CASTI68,"Castillo, 1968, p.","Castillo, 1968",,"Checked: IJR, 5/13/91, EW 5/23/91   seen.8.7.91.fma",,Y,,,,,,,,Back on Shelf,,,A,MJO |D 1990 01 19 |T 16:46:01,EW |D 1990 08 06 |T 14:25:40,,,"Castillo, A. del.  Crónica de Barcelona.  Goya  83 (March-April 1968): 320-324.","Castillo, A. del.  Crónica de Barcelona.  Goya  83 (March-April 1968): 320-324.",375,"Castillo, 1968","Castillo, 1968",C
376,,,Summa Artis,,,,Historia general del arte.  37 vols. to date,,,Madrid,1931-<1995> [Individual volumes listed by author],,,,,,,,,,"Checked: IJR, 6/27/91  EW 6/28/91    seen.8.4.92.fma",,,,,,,,,,,,,A B C D E F G H I J K L M1 M2 M3 M4 Q,FMA |D 1990 08 09 |T 15:39:44,FMA |D 1990 11 29 |T 13:21:03,,,"Summa Artis.  Historia general del arte.  37 vols. to date. Madrid, 1931-<1995> [Individual volumes listed by author].","Summa Artis.  Historia general del arte.  37 vols. to date. Madrid, 1931-<1995> [Individual volumes listed by author].",376,Summa Artis,Summa Artis,S
377,"Bergström, I.",,Maestros españoles de bodegones y floreros del siglo XVII,,,,,Trans.,M. Goulard de Westberg,Madrid,1970,,,,,,BERGSTROM,"Bergström, 1970, p.","Bergström, 1970",,"Checked: IJR, 5/10/91, EW 5/23/91     seen.1.30.95.fma",,,,,,,,,,Authors,,815.2 B454,A C D E F H L M3 P S V,MJO |D 1990 01 22 |T 09:33:37,IR |D 1990 07 26 |T 14:53:35,,,"Bergström, I.  Maestros españoles de bodegones y floreros del siglo XVII.  Trans. M. Goulard de Westberg.  Madrid, 1970.","Bergström, I.  Maestros españoles de bodegones y floreros del siglo XVII.  Trans. M. Goulard de Westberg.  Madrid, 1970.",377,"Bergström, 1970","Bergström, 1970",B
378,,"Madrid, Museo del Prado","Pintura española de bodegones y floreros, de 1600 a Goya",,,,,Comp.,A.E. Pérez Sánchez,,,November |y 1983 - January 1984,,,,,MAPRA83,"Madrid, Prado [exh.], 1983, p.","Madrid, Prado [exh.], 1983",,"Checked: IJR 5/20/91, EW 5/23/91   seen.5.19.92.fma",,,,Y,,,,,,Exhibitions,,E M26 P17 1983/84,A C D E F G H L M1 M3 M4 P R S V,MJO |D 1990 01 22 |T 12:14:16,IR |D 1990 07 30 |T 11:38:07,,"madrid, prado1983","Madrid, Museo del Prado.  Pintura española de bodegones y floreros, de 1600 a Goya [exh.].  Comp. A.E. Pérez Sánchez.  November 1983 - January 1984.","Madrid, Museo del Prado.  Pintura española de bodegones y floreros, de 1600 a Goya [exh.].  Comp. A.E. Pérez Sánchez.  November 1983 - January 1984.",378,"Madrid, Prado [exh.], 1983","Madrid, Prado",M
379,"Arias Anglés, [J.]E.",,"Antonio de Brugada, pintor romántico y liberal",,,,,,,Madrid,1989,,,,,,AAN89,"Arias Anglés, 1989, p.","Arias Anglés, 1989",,"Checked: EW 6/21/91 / IJR, 6/28/91",,,,,,,,,,,,,B,MJO |D 1990 03 08 |T 09:45:29,EW |D 1990 07 23 |T 16:27:36,,,"Arias Anglés, [J.]E.  Antonio de Brugada, pintor romántico y liberal.  Madrid, 1989.","Arias Anglés, [J.]E.  Antonio de Brugada, pintor romántico y liberal.  Madrid, 1989.",379,"Arias Anglés, 1989",Arias Anglés,A
380,"Bernales Ballesteros, J., et al.",,"El arte del Renacimiento. Escultura, pintura y artes decorativas",,,,"Historia del arte en Andalucía, vol.5",,,Seville,1989,,,,,,ANDA5,"Bernales Ballesteros, Renacimiento, 1989, p.","Bernales Ballesteros, Renacimiento, 1989",,"Checked: IJR, 5/10/91  -  seen.5.17.91.fma; EW 5/23/91",,,,,,,,,,General - Regional,,,A B C D F H J L M1 M4 N O P R S V,MJO |D 1990 01 29 |T 11:37:51,FMA |D 1990 10 29 |T 16:51:04,,"bernales ballesteros, j.et al.1989renacimiento","Bernales Ballesteros, J., et al.  El arte del Renacimiento. Escultura, pintura y artes decorativas.  Historia del arte en Andalucía, vol.5. Seville, 1989.","Bernales Ballesteros, J., et al.  El arte del Renacimiento. Escultura, pintura y artes decorativas.  Historia del arte en Andalucía, vol.5. Seville, 1989.",380,"Bernales Ballesteros, Renacimiento, 1989",Bernales Ballesteros,B
381,"Hernández Guardiola, L.",,Diccionario de escultores alicantinos,,,,"Arte y artesanía, vol.5",,,Alicante,1974,,,,,,HERGUAR,"Hernández Guardiola, 1974.","Hernández Guardiola, 1974",,"Checked: IJR, 5/17/91  Checked: EW 6/19/91",,,,,,,,,,General - Regional,,830.9 H43,B F G M4,MJO |D 1990 01 29 |T 11:49:04,FMA |D 1990 01 30 |T 10:32:15,,,"Hernández Guardiola, L.  Diccionario de escultores alicantinos. Arte y artesanía, vol.5.  Alicante, 1974.","Hernández Guardiola, L.  Diccionario de escultores alicantinos. Arte y artesanía, vol.5.  Alicante, 1974.",381,"Hernández Guardiola, 1974",Hernández Guardiola,H
382,"Igual Ubeda, A.",,Escultores valencianos del siglo XVIII en Madrid,,,,"Cuadernos de arte, vol.19",,,Valencia,1968,,,,,,IU68,"Igual Ubeda, 1968, p.","Igual Ubeda, 1968",,"Checked: IJR, 6/6/91  Checked: EW 6/19/91   seen.6.22.92.fma",,,,,,,,,,General,,830.9 Ig8,B C D E P,MJO |D 1990 01 29 |T 11:56:02,FMA |D 1990 01 30 |T 10:38:12,,,"Igual Ubeda, A.  Escultores valencianos del siglo XVIII en Madrid.  Cuadernos de arte, vol.19.  Valencia, 1968.","Igual Ubeda, A.  Escultores valencianos del siglo XVIII en Madrid.  Cuadernos de arte, vol.19.  Valencia, 1968.",382,"Igual Ubeda, 1968",Igual Ubeda,I
